Date,Total tx fees (BTC),Num txs,Avg tx fee (BTC),BTC-USD,Avg tx fee (USD)
2015-12-15,39.48664553,221499.0,0.00017827008487622967,445.6,0.07943714982084794
2015-12-16,39.39891977,227706.0,0.0001730253913818696,459.48,0.07950170683214146
2015-12-17,39.1447328,222531.0,0.0001759068749971914,454.43,0.07993736120497369
2015-12-18,37.22822923,219600.0,0.0001695274555100182,453.39,0.07686205305368715
2015-12-19,37.92492881,214387.0,0.0001768993866699007,458.95,0.08118797351215092
2015-12-20,35.93690521,216944.0,0.00016565060665425178,461.16,0.07639143376467475
2015-12-21,32.57857501,191441.0,0.0001701755371628857,434.98,0.07402295515511202
2015-12-22,40.54469579,222112.0,0.00018254167172417518,438.7,0.08008103138539566
2015-12-23,38.26775215,223130.0,0.00017150428965177251,435.98,0.07477244020237979
2015-12-24,39.9396651,221289.0,0.0001804864457790491,441.4,0.07966671716687228
2015-12-25,40.27402729,227189.0,0.00017727102672224448,453.95,0.08047218258056288
2015-12-26,30.46228338,184124.0,0.000165444392800504,454.98,0.07527388983637331
2015-12-27,28.83614603,170904.0,0.0001687271569419089,417.99,0.07052626433014851
2015-12-28,26.99051992,156554.0,0.0001724038984631501,418.46,0.07214413535088979
2015-12-29,30.14051256,166837.0,0.00018065844243183468,423.98,0.07659556642224927
2015-12-30,32.07409932,187040.0,0.00017148256693755347,431.13,0.07393127908378742
2015-12-31,31.69411709,181836.0,0.00017430056253987108,428.0,0.07460064076706482
2016-01-01,27.14353204,164132.0,0.00016537623400677504,429.34,0.07100263230846879
2016-01-02,19.7356877,123623.0,0.00015964414146234923,432.33,0.06901895167841744
2016-01-03,29.83594196,142904.0,0.00020878311285898226,433.94,0.09059934399402676
2016-01-04,23.84912157,141064.0,0.00016906596700788296,428.13,0.07238221245508493
2016-01-05,29.04309207,170176.0,0.00017066502955763444,433.0,0.0738979577984557
2016-01-06,33.25645748,187012.0,0.0001778306070198704,431.9,0.07680503917188203
2016-01-07,30.18982189,177478.0,0.0001701045869910637,430.75,0.07327255084640068
2016-01-08,34.09833151,177873.0,0.000191700435198147,453.71,0.08697640445375127
2016-01-09,35.79529128,190001.0,0.0001883952783406403,447.04,0.08422022522939984
2016-01-10,29.65980991,178374.0,0.00016627877330776907,450.15,0.07485038980449224
2016-01-11,28.84040484,164687.0,0.0001751225345048486,446.24,0.07814667979744365
2016-01-12,33.93862178,179771.0,0.00018878807916738517,447.11,0.08440903807652958
2016-01-13,34.68518114,196656.0,0.00017637489392645023,446.66,0.07877961012118827
2016-01-14,34.14797822,191628.0,0.00017819931440081824,429.57,0.07654907948715949
2016-01-15,32.4379618,183390.0,0.00017687966519439445,431.9,0.07639432739745897
2016-01-16,35.56461585,185105.0,0.0001921321187974393,391.62,0.07524278036345318
