time,low,high,open,close,volume
1451606400,430.35,431.6,430.35,431.23,32.50330069999999
1451607300,431.23,431.74,431.23,431.73,10.771562389999998
1451608200,430.8,431.75,431.74,430.8,13.883605540000001
1451609100,430.46,430.9,430.8,430.61,7.4624263699999975
1451610000,430.45,430.7,430.59,430.7,12.421072699999996
1451610900,430.25,430.78,430.63,430.39,10.193774849999999
1451611800,430,430.5,430.36,430.5,7.155041489999999
1451612700,430.62,430.84,430.62,430.78,7.692169999999998
1451613600,430.67,430.8,430.8,430.78,15.9162889
1451614500,430.59,430.79,430.79,430.71,4.117056099999998
1451615400,430.62,430.79,430.71,430.76,20.417729189999996
1451616300,430.62,430.79,430.79,430.62,18.3603917
1451617200,430.45,431,430.62,430.98,8.81667767
1451618100,430.97,431.99,430.97,431.88,7.9978
1451619000,431.55,432,431.88,432,6.8171016999999985
1451619900,431.99,432.49,432,432.49,10.26607557
1451620800,432.74,434.61,432.74,434.61,24.03393927
1451621700,434.63,435.96,434.63,435.96,13.586560319999998
1451622600,434.8,435.99,435.98,435.31,14.978099999999994
1451623500,435.35,437.12,435.35,436.12,31.315288740000014
1451624400,435.99,436.14,436.12,436.07,10.258670259999997
1451625300,435.52,436.08,435.95,435.75,12.8188
1451626200,435.75,436.01,435.75,436.01,2.7832
1451627100,435.99,436.39,436.02,435.99,5.515315219999997
1451628000,432.03,435.99,435.99,432.87,27.414415000000034
1451628900,432.7,432.91,432.88,432.89,14.529340259999996
1451629800,432.89,433.89,432.89,433.89,10.360557389999999
1451630700,433.9,434.41,433.9,434.26,5.98204715
1451631600,434.26,436,434.26,436,13.944079449999995
1451632500,435.99,436.43,435.99,436.34,21.893813430000012
1451633400,436.32,436.38,436.34,436.32,1.9095000000000002
1451634300,434.39,436.32,436.32,434.44,18.459245189999997
1451635200,432.72,434.42,434.42,433.84,89.02618170000002
1451636100,433.81,434.1,433.84,434.1,15.747114159999999
1451637000,434.11,434.94,434.11,434.91,3.5283995499999974
1451637900,434.01,434.94,434.91,434.01,13.60313198
1451638800,433.55,433.9,433.57,433.55,0.46284998
1451639700,433,433.39,433.39,433,2.102158020000001
1451640600,433,433.01,433.01,433.01,5.613407059999999
1451641500,433,433.01,433.01,433.01,14.94705627
