time,low,high,open,close,volumefrom,volumeto
1461985200,521700,523200,523200,521800,58.36,30514153.15
1461988800,521700,522400,521800,522400,33.23,17356859.12
1461992400,521000,522900,522400,521400,13.87,7236226.44
1461996000,520000,521900,521400,520000,19.13,9977751.12
1461999600,519600,521800,520000,521500,10.27,5340486.02
1462003200,521400,521800,521800,521800,14.22,7416666.53
1462006800,521400,521800,521800,521800,8.62,4494298.72
1462010400,521800,522000,521800,522000,55.03,28724264.54
1462014000,521600,522500,522000,521700,35.74,18670357.4
1462017600,520900,522000,521700,521300,12.68,6611442
1462021200,520800,521300,521300,521300,8.66,4511931.53
1462024800,520100,523300,521300,520300,90.53,47262415.84
1462028400,520000,521900,520300,520000,12.05,6273415.01
1462032000,520000,522000,520000,521300,44.9,23405547.8
1462035600,520000,521300,521300,520000,26.86,13986326.09
1462039200,517500,520300,520000,517500,18.02,9346744.95
1462042800,517000,517500,517500,517000,5.79,2994549.73
1462046400,517000,518400,517000,518400,10.22,5298048
1462050000,516600,518400,518400,516600,17.47,9028854.93
1462053600,516200,516600,516600,516600,7.75,4003904.24
1462057200,515600,516600,516600,515600,10.83,5588313.76
1462060800,515000,516100,515600,515000,0.5094,262872.21
1462064400,515000,515000,515000,515000,0.1793,92315.3
1462068000,515000,516100,515000,515400,5.82,3000523.63
1462071600,515100,516400,515400,515100,9.78,5048216.98
1462075200,515100,516000,515100,515900,2.1,1083999.74
1462078800,515300,516400,515900,516300,12.92,6664710.76
1462082400,515000,516300,516300,515000,24.93,12847545.64
1462086000,515000,516500,515000,516500,3.41,1762529.4
1462089600,515700,516600,516500,516600,15.87,8189786.24
1462093200,516500,516900,516600,516600,106.48,55010570.39
1462096800,516600,520900,516600,520900,46.69,24254041.8
1462100400,518600,520900,520900,518700,20.21,10484225.69
1462104000,517900,520100,518700,520100,32.05,16625385.46
1462107600,518100,520100,520100,519400,3.19,1652289.63
1462111200,519300,519400,519400,519400,0.2541,132000
1462114800,518000,520000,519400,519400,12.4,6433797.05
1462118400,516200,519400,519400,516200,3.84,1990811.8
1462122000,516200,516200,516200,516200,0.2269,117111.11
1462125600,516200,516200,516200,516200,0,0
1462129200,516200,518300,516200,518300,0.05989,30974.54
1462132800,518100,518300,518300,518100,1.23,638216
1462136400,517600,518300,518100,518300,16.76,8677450.33
1462140000,518300,519300,518300,518300,10.03,5203163.25
1462143600,517600,519200,518300,519200,2.8,1453591.56
1462147200,518600,519200,519200,518600,17.54,9094644.05
1462150800,517600,520000,518600,517600,22.17,11507118.12
1462154400,517600,519500,517600,519500,11.39,5916108.56
1462158000,518600,520000,519500,519600,37.06,19246425.91
1462161600,518800,520300,519600,519000,49.33,25632918.68
1462165200,519000,519900,519000,519200,20.96,10883653.87
1462168800,519200,519500,519200,519400,61.52,31960824.1
1462172400,519200,520000,519400,519300,53.2,27638128.25
1462176000,515600,519300,519200,515800,93.86,48585779.69
1462179600,510000,518400,515800,513000,260.88,133863657.96
1462183200,510600,513000,513000,511900,59.97,30674137.81
1462186800,511700,511900,511900,511800,23.05,11795392.06
1462190400,511800,511900,511800,511900,22.84,11692308.55
1462194000,510700,514900,511900,514800,147.18,75406595.17
1462197600,511000,516400,514800,514400,19.62,10091050.19
1462201200,511600,514400,514400,513000,12.23,6274200
1462204800,513000,514300,513000,513000,4.29,2205700.16
1462208400,513000,514200,513000,514200,11.84,6083007.16
1462212000,514200,514200,514200,514200,0.3047,156676.74
1462215600,514200,514200,514200,514200,0,0
1462219200,514200,514300,514200,514300,0.4278,220000
1462222800,514200,514300,514300,514200,1.02,524411.94
1462226400,514200,514300,514200,514300,1,514300
1462230000,514000,514300,514300,514200,23.93,12304390.96
1462233600,514200,515000,514200,514500,20.25,10417694.36
1462237200,514200,515000,514500,514300,44.42,22856358.78
1462240800,510600,514300,514300,510600,43.09,22073552.67
1462244400,510000,511200,510600,511000,70.75,36099879.64
1462248000,510100,513400,511000,513300,109.27,55938413.41
1462251600,512400,514000,513300,514000,157.44,80757557.01
1462255200,512900,514000,514000,513000,79.29,40680571.16
1462258800,512900,513000,513000,512900,119.19,61131785.73
1462262400,512900,514500,512900,513700,33.26,17071679.79
1462266000,513700,514900,513700,514900,25.3,13021419
1462269600,514500,515000,514900,515000,26.77,13778428.97
1462273200,515000,516400,515000,515100,51.87,26741632.19
1462276800,515000,516100,515100,515000,60.86,31351613.96
1462280400,515000,516000,515000,516000,11.4,5877675.31
1462284000,515000,516000,516000,515400,43.91,22629053.55
1462287600,515000,516100,515400,515000,2.57,1328199.57
1462291200,515000,516400,515000,516400,7.33,3783057.47
1462294800,515100,516900,516400,516900,0.672,347134.89
1462298400,515100,516900,516900,516900,0.5558,286833.24
1462302000,515600,518400,516900,518400,29.62,15303876.01
1462305600,517100,518500,518400,518500,32.93,17050491.55
1462309200,518500,518500,518500,518500,10.97,5689680
1462312800,517700,518500,518500,518400,25.07,12988764.58
1462316400,518000,518400,518400,518400,14.23,7372242.18
1462320000,518000,518500,518400,518000,10.63,5505748.95
1462323600,518000,519400,518000,518400,41.75,21653063.75
1462327200,518400,519900,518400,519900,25.62,13301597.15
1462330800,518000,521000,519900,519900,209.37,108932816.75
1462334400,518400,519900,519900,519400,24.47,12692908.01
1462338000,518000,520000,519400,519500,34.8,18073599.12
1462341600,519400,520000,519500,519600,47.35,24604602.86
1462345200,519500,519900,519600,519900,18.48,9602842.77
1462348800,518200,520000,519400,519900,79.74,41399589.03
1462352400,518300,520000,519900,519300,79.57,41339411.58
1462356000,516700,519400,519300,518400,63,32639638.58
1462359600,516900,518400,518400,517100,13.09,6775227.56
1462363200,516900,518300,517100,518300,32.21,16663619.25
1462366800,517100,518300,518300,517400,9.83,5087363.09
1462370400,517400,519300,517400,519300,8.3,4303975.62
1462374000,518600,519400,519300,519100,37.53,19492549.16
1462377600,518600,519500,519100,519400,7.42,3851376.58
1462381200,518500,519400,519400,518500,0.08671,44978.46
1462384800,518500,518600,518500,518600,1.5,777900
1462388400,518600,518600,518600,518600,0,0
1462392000,518600,518600,518600,518600,0,0
1462395600,518600,519500,518600,518800,1.32,684786.88
1462399200,518800,519800,518800,518800,6.75,3509472.45
1462402800,518800,519400,518800,519400,20.98,10896671.47
1462406400,519400,520400,519400,520400,99.03,51500000.13
1462410000,519600,521000,520400,520900,20.72,10786646.29
1462413600,520900,521000,520900,520900,35.33,18406579.48
1462417200,519700,521300,520900,520000,14.29,7436038.79
1462420800,518600,520000,520000,519000,17.6,9140080.14
1462424400,518600,519000,519000,518900,26.49,13745489.66
1462428000,518700,519000,518900,518800,13.46,6985188.61
1462431600,518400,518800,518800,518700,60.69,31473796.06
1462435200,518400,519000,518700,518800,41.82,21699516.19
1462438800,518500,518800,518800,518500,32.6,16905640.94
1462442400,517500,518500,518500,518300,19.21,9956461.94
1462446000,517100,518300,518300,518300,23.79,12327973.15
1462449600,517400,518300,518300,517400,1.31,679775.76
1462453200,517400,518300,517400,518300,11.59,6006654.6
1462456800,518200,519000,518300,519000,40.25,20878147.21
1462460400,518800,519000,519000,519000,23.35,12117619.74
1462464000,519000,519000,519000,519000,7.43,3858204.99
1462467600,518800,519000,519000,518800,28,14527400
1462471200,518800,518800,518800,518800,0,0
1462474800,518800,518900,518800,518900,0.17,88213
1462478400,518900,519400,518900,519400,3.64,1891506.2
1462482000,519000,519400,519400,519000,8.03,4168978.59
1462485600,519000,519400,519000,519400,24.63,12790213.61
1462489200,518200,519400,519400,518200,5.45,2826560.32
1462492800,518200,519400,518200,519400,1.73,897849.69
1462496400,519100,519400,519400,519100,3.91,2028791
1462500000,519000,519600,519100,519600,1.14,592143.49
1462503600,519200,520000,519600,520000,17.27,8978131.84
1462507200,518300,520000,520000,518300,18.01,9341731.69
1462510800,518200,519000,518300,518400,12.38,6421246.07
1462514400,518300,519000,518400,519000,20.69,10736856
1462518000,519000,520900,519000,520900,67.48,35093183.33
1462521600,520800,521000,520900,520800,55.68,29000741.89
1462525200,520600,521000,520800,521000,93.25,48564227.41
1462528800,519600,521400,521000,519600,61.29,31874746.89
1462532400,519600,521400,519600,521300,15.64,8141931.6
1462536000,519700,521300,521300,521200,2.42,1260684.55
1462539600,520600,522400,521200,522300,115.26,60157459.09
1462543200,520700,522400,522300,522400,32.78,17123128.41
1462546800,521800,523900,522400,523900,31.12,16262177.57
1462550400,523000,525400,523900,525400,60.79,31881665.05
1462554000,524000,525400,525400,524000,3.93,2059692
1462557600,523000,524000,524000,523000,31.51,16490405.05
1462561200,523000,523000,523000,523000,0.6689,349824.93
1462564800,523000,525900,523000,525900,16.76,8814695.27
1462568400,525900,528000,525900,528000,12.78,6723940
1462572000,527600,528000,528000,528000,18.57,9802228.18
1462575600,527600,529000,528000,529000,12.08,6375443.6
1462579200,527700,530000,529000,528600,25.74,13627498
1462582800,528000,529000,528600,528100,2.87,1518266.86
1462586400,527600,528200,528100,527600,26.89,14197580.87
1462590000,525600,528100,527600,527400,36,18977352.13
1462593600,526600,528200,527400,528100,26.42,13928989.8
1462597200,528100,528200,528100,528200,24.82,13111710.93
1462600800,528100,529800,528200,528100,23.51,12435117.4
1462604400,528100,529400,528100,529300,4.56,2413008.31
1462608000,527800,528000,527900,528000,26.93,14218488.71
1462611600,527800,528900,528000,528700,59.94,31663692.32
1462615200,528600,529000,528700,528700,14.67,7757315.29
1462618800,528600,529000,528700,529000,29.59,15651619.97
1462622400,527900,529000,529000,528900,17.66,9337446.74
1462626000,527000,529000,528900,527000,15.96,8421490.52
1462629600,527000,529300,527000,529300,18.27,9661447.46
1462633200,527000,529300,529300,527400,11.56,6094872.87
1462636800,527100,527400,527400,527100,2.3,1214105.6
1462640400,527100,527400,527100,527400,0.03201,16881.8
1462644000,527400,527400,527400,527400,0,0
